index,charName,charIndex,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
1,신입 요괴 사냥꾼,1,jin_surprise,으아아! 살려줘!,,right,,battlebgm1,forest1,
2,요괴,2,monster_1,생긴 건 어벙한 게 발은 빠르구나,appear,center,,battlebgm1,forest1,
3,요괴,2,monster_1,하지만 여기까지다!,,center,,battlebgm1,forest1,
4,요괴,2,monster_1,크흐흐` 첫 사냥감부터 사냥꾼이라니… 진수성찬이야!,,center,,battlebgm1,forest1,
5,신입 요괴 사냥꾼,1,jin_angry,이대로 당할까 보냐!,,right,,battlebgm1,forest1,
6,신입 요괴 사냥꾼,1,jin_angry,으아아아아!,,right,,battlebgm1,forest1,
7,신입 요괴 사냥꾼,1,jin_angry,,right-center,,금속 부딫치는 사운드,battlebgm1,forest1,진월이 요괴와 맞붙었으나 밀려 뒤로 밀려나는 연출
8,신입 요괴 사냥꾼,1,jin_scared,,center-right,,,battlebgm1,forest1,진월이 요괴와 맞붙었으나 밀려 뒤로 밀려나는 연출
9,요괴,2,monster_1,하하! 사냥꾼이란 게 이 정도라니!,,center,,battlebgm1,forest1,
10,요괴,2,monster_1,확실히 팔마님들 말이 맞았어!,,center,,battlebgm1,forest1,
11,요괴,2,monster_1,인간들이 전부 우리 먹이가 될 날도 머지 않았군!,,center,,battlebgm1,forest1,
12,신입 요괴 사냥꾼,1,jin_scared,크흣!,,right,,battlebgm1,forest1,
13,신입 요괴 사냥꾼,1,jin_sad,(제기랄! 나는 왜 이리 한심할까…),,right,,battlebgm1,forest1,
14,신입 요괴 사냥꾼,1,jin_sad,(선배 말대로 나는…),,right,,battlebgm1,forest1,
15,요괴,2,monster_1,자` 그럼 식사를 해볼까!,,center,,battlebgm1,forest1,
16,신입 요괴 사냥꾼,1,jin_scared,흐읏!,,right,,battlebgm1,forest1,
17,,0,,,,,,battlebgm1,all_black,
18,,0,,슈카아악!,,,검으로 내려치는 사운드,battlebgm1,white_blade_black,검은 화면에서 하얀 검격이 세로로 가르는 연출
19,요괴,2,monster_2(세로로 갈라짐`반갈죽),커` 커헉! 너` 너는…,,center,,battlebgm1,forest1,
20,구미호,3,fox_normal,…꺼져.,,,,battlebgm1,forest1,
21,요괴,2,monster_2(세로로 갈라짐`반갈죽),크아아…,,center,,battlebgm1,forest1,
22,요괴,2,monster_2(세로로 갈라짐`반갈죽),,monster_2_disappear,,,battlebgm1,forest1,
23,구미호,3,fox_normal,,center_appear,center,,battlebgm1,forest1,
24,신입 요괴 사냥꾼,1,jin_normal,아` 가` 감사 합니…,,right,,stage1bgm,,
25,신입 요괴 사냥꾼,1,jin_surprise,…헉!,,right,,stage1bgm,fox_illustration_1,달빛 아래 숲의 구미호 전신샷 일러스트
26,나레이션,0,,하얀 소복에 붉은 저고리 차림,,,,stage1bgm,fox_illustration_1,
27,나레이션,0,,그건 평범한 양갓집 규슈의 모습이었다만,,,,stage1bgm,fox_illustration_1,
